Item Name,Unit,Qunatity Available,Quantity Purcahsed,Qunatity Sold,Qunatity Avaialble for sale,Valuation
Allen Socket BoltM12X25 SS,Nos,420.0,776.0,356.0,420.0,11608.800000000001
Allen Socket BoltM12X30 SS,Nos,129.0,374.0,245.0,129.0,3395.0
Allen Socket BoltM12X35 SS,Nos,0.0,143.0,143.0,0.0,0.0
Allen Socket BoltM12X40 SS,Nos,138.0,218.0,80.0,138.0,3795.0
Allen Socket BoltM12X45 SS,Nos,146.0,239.0,93.0,146.0,3203.2400000000002
Allen Socket BoltM12X50 SS,Nos,193.0,473.0,280.0,193.0,6657.06
Allen Socket BoltM12X70 SS,Nos,145.0,210.0,65.0,145.0,4975.55
Allen Socket BoltM12X75 SS,Nos,135.0,135.0,0.0,135.0,5213.699999999999
Allen Socket BoltM12X80 SS,Nos,66.0,100.0,34.0,66.0,2616.2400000000002
Allen Socket BoltM12X90 SS,Nos,0.0,58.0,58.0,0.0,0.0
Allen Socket BoltM14X35 SS,Nos,17.0,30.0,13.0,17.0,977.16
Allen Socket BoltM14X40 SS,Nos,3.0,43.0,40.0,3.0,233.16
Allen Socket BoltM16X130 SS,Nos,0.0,20.0,20.0,0.0,0.0
Allen Socket BoltM16X25 SS,Nos,0.0,40.0,40.0,0.0,0.0
Allen Socket BoltM16X35 SS,Nos,0.0,130.0,130.0,0.0,0.0
Allen Socket BoltM16X40 SS,Nos,24.0,70.0,46.0,24.0,1309.9199999999998
Allen Socket BoltM16X45 SS,Nos,0.0,18.0,18.0,0.0,0.0
Allen Socket BoltM16X50 SS,Nos,37.0,98.0,61.0,37.0,2856.4
Allen Socket BoltM16X60  SS,Nos,25.0,35.0,10.0,25.0,1742.25
Allen Socket BoltM16X65 SS,Nos,0.0,6.0,6.0,0.0,0.0
Allen Socket BoltM16X70 SS,Nos,44.0,125.0,81.0,44.0,7042.16
Allen Socket BoltM16X80  SS,Nos,28.0,82.0,54.0,28.0,3252.2000000000003
Allen Socket BoltM16X90 SS,Nos,32.0,150.0,118.0,32.0,4183.36
Allen Socket BoltM6X50 SS,Nos,138.0,218.0,80.0,138.0,833.52
Allen Socket BoltM6X55 SS,Nos,146.0,222.0,76.0,146.0,1312.0
"Allen Socket Dead Plug 1"" BSP",Nos,5.0,30.0,25.0,5.0,425.0
"Allen Socket Dead Plug 1/2"" BSP",Nos,44.0,120.0,76.0,44.0,3740.0
"Allen Socket Dead Plug 3/4"" BSP",Nos,42.0,50.0,8.0,42.0,3150.0
"Allen Socket Dead Plug 3/8"" BSP",Nos,0.0,20.0,20.0,0.0,0.0
Allen Socket H Bolt M8X25 SS,Nos,200.0,1225.0,1025.0,200.0,1957.9999999999998
Allen Socket Head 10X60 ( Half Thread )-LPS,Nos,0.0,98.0,98.0,0.0,0.0
Allen Socket Head 12X60 ( Half Thread )-LPS,Nos,43.0,46.0,3.0,43.0,1706.24
